binning_data,update_time,create_time,count,speed,distance,calorie
09046d97-cb0e-4e90-baa1-3d5d798b58ae.binning_data.json,15:02.2,7/20/2022,7101,1.3210526,5361.14,261.88
e39f5e68-d90f-4dab-8eff-1d11a1b63a81.binning_data.json,59:54.8,7/21/2022,4186,1.5275494,3332.91,158.11
48bb7f63-337e-4679-91fc-88a8d96b0a6b.binning_data.json,38:53.1,7/5/2022,913,1.3441257,693.12,34.42
6f3c2308-9778-4abc-9924-ef7f9e81ec1f.binning_data.json,06:23.4,7/13/2022,1405,1.4131066,1078.28,49.01
88e17513-4f07-4903-89ac-43dda1cdd266.binning_data.json,15:02.9,7/22/2022,5687,1.3146105,4297.95,209.06
76ba1387-8254-4320-9f46-cdcc27fab51d.binning_data.json,15:02.8,7/23/2022,5659,1.328621,4296.23,199.73
3f5ecde5-7a2f-4569-b905-8ab0a696cf83.binning_data.json,12:56.6,7/24/2022,13405,1.2666131,9993.91,512.49
b9cfd087-922e-4a28-8b48-a1c1ec1f04db.binning_data.json,18:24.8,7/16/2022,1139,1.4062383,881.13,41.81
0bda830d-bbee-4c7f-8229-a3e7966f6450.binning_data.json,00:27.0,7/7/2022,4070,1.4457976,3143.41,156.23999
4880d4b7-8be3-4832-afd1-2fcd175e7bd7.binning_data.json,34:35.2,7/19/2022,1691,1.2920218,1278.67,61.879997
1e2876ce-12e2-4150-bf2f-61784d3ccfda.binning_data.json,47:38.1,7/10/2022,2722,1.3298694,2067.82,99.2
56ef9e69-8ad6-4e69-bd83-0ba7974c2734.binning_data.json,55:10.1,7/22/2022,5687,1.3146105,4297.95,209.06
da9d3ebc-863e-4cf3-9bfc-1055cd244b6b.binning_data.json,35:33.0,7/25/2022,325,1.2193906,241.53,12.03
3fe682ab-3f8e-4b6a-8e7e-586c84c6acd2.binning_data.json,15:02.8,7/15/2022,5218,1.4738314,4054.3,181.68
0b7cbadc-33b2-450d-8424-c94f60c153e9.binning_data.json,19:00.5,7/18/2022,3404,1.4090267,2621.06,117.64
91e697e3-83c9-4cd7-bb61-fd1db0a48eea.binning_data.json,55:10.1,7/21/2022,4186,1.5275494,3332.91,158.11
bf322a70-8133-4be6-8886-b71c23db1458.binning_data.json,15:02.4,7/24/2022,13405,1.2666131,9993.91,512.49
